[28/09/2022 21:38:42] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:39:29] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:41:21] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:44:57] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:50:50] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:54:24] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 21:58:59] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:02:27] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:03:00] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:03:54] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:04:49] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:05:58] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:23:42] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:25:04] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:26:03] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:32:17] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:36:55] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:56:10] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:58:10] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 22:59:51] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:11:11] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:17:09] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:17:42] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:24:16] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:27:25] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:31:27] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:38:23] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:45:27] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:46:31] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:48:53] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:50:18] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:52:01] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:53:38] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:55:17] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:58:32] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:59:07] [INFO] received Windows console close event; shutting log-core down
[28/09/2022 23:59:42] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 00:05:16] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 00:08:34] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 00:10:10] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 14:26:46] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 14:40:47] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 14:54:33] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 18:47:07] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 19:29:47] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 19:35:18] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 19:37:29] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:01:39] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:13:02] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:14:59] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:16:47] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:18:37] [INFO] received Windows console close event; shutting log-core down
[29/09/2022 20:31:54] [INFO] received Windows console close event; shutting log-core down
[03/10/2022 02:19:42] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/10/2022 02:29:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[03/10/2022 23:09:59] [INFO] received Windows console close event; shutting log-core down
[04/10/2022 00:39:57] [INFO] received Windows console close event; shutting log-core down
